Name, Developer, Download Link, Repository Link, Operating System, Programming Language, License, Cost
TopoStats, TopoStats Developers, NA, https://github.com/afmstats/TopoStats, Windows / Linux / OSX, python, GPL (Lesser), No Cost
Gwyddion, David Nečas and Petr Klapetek, http://gwyddion.net/, https://sourceforge.net/projects/gwyddion/, Windows / Linux / OSX, C / C++, GPL, No Cost
